  *** Project Runge-Kutt ***
  ****** Input  maximum steps i_max:
1000
   h= 5.00500482E-03     t_max=5.00000000        i_max= 1000
   p2= 7.00000000        Beta=1.00000000         Kappa=   6.00000000        x0=  0.100000001    
 _________________________________________________
     i             t               K(t)    (p2-Beta/Kappa*x)      x(t)
         466   2.33233905       31.1880684       8.55159760E-03   41.9486885    
         467   2.33734417       31.2481308       8.33177567E-03   41.9500084    
         468   2.34234929       31.3081932       8.11672211E-03   41.9512978    
         469   2.34735441       31.3682537       7.90691376E-03   41.9525566    
         470   2.35235953       31.4283142       7.70235062E-03   41.9537849    
         471   2.35736465       31.4883766       7.50255585E-03   41.9549828    
         472   2.36236978       31.5484390       7.30752945E-03   41.9561539    
         473   2.36737490       31.6084995       7.11727142E-03   41.9572945    
         474   2.37238002       31.6685600       6.93178177E-03   41.9584084    
         475   2.37738514       31.7286224       6.75058365E-03   41.9594955    
         476   2.38239026       31.7886848       6.57367706E-03   41.9605560    
         477   2.38739538       31.8487453       6.40153885E-03   41.9615898    
         478   2.39240050       31.9088058       6.23321533E-03   41.9626007    
         479   2.39740562       31.9688683       6.06918335E-03   41.9635849    
         480   2.40241075       32.0289307       5.90896606E-03   41.9645462    
         481   2.40741587       32.0889893       5.75256348E-03   41.9654846    
         482   2.41242099       32.1490517       5.59997559E-03   41.9664001    
         483   2.41742611       32.2091141       5.45120239E-03   41.9672928    
         484   2.42243123       32.2691765       5.30624390E-03   41.9681625    
         485   2.42743635       32.3292351       5.16510010E-03   41.9690094    
         486   2.43244147       32.3892975       5.02681732E-03   41.9698372    
         487   2.43744659       32.4493599       4.89282608E-03   41.9706421    
         488   2.44245172       32.5094223       4.76169586E-03   41.9714279    
         489   2.44745684       32.5694809       4.63390350E-03   41.9721947    
         490   2.45246196       32.6295433       4.50944901E-03   41.9729424    
         491   2.45746708       32.6896057       4.38785553E-03   41.9736710    
         492   2.46247220       32.7496681       4.26959991E-03   41.9743805    
         493   2.46747732       32.8097267       4.15468216E-03   41.9750710    
         494   2.47248244       32.8697891       4.04214859E-03   41.9757462    
         495   2.47748756       32.9298515       3.93295288E-03   41.9764023    
         496   2.48249269       32.9899139       3.82614136E-03   41.9770432    
         497   2.48749781       33.0499725       3.72171402E-03   41.9776688    
         498   2.49250293       33.1100349       3.62014771E-03   41.9782791    
         499   2.49750805       33.1700974       3.52144241E-03   41.9788704    
         500   2.50251317       33.2301598       3.42464447E-03   41.9794502    
         501   2.50751829       33.2902184       3.33070755E-03   41.9800148    
         502   2.51252341       33.3502808       3.23915482E-03   41.9805641    
         503   2.51752853       33.4103432       3.14998627E-03   41.9810982    
         504   2.52253366       33.4704056       3.06320190E-03   41.9816208    
         505   2.52753878       33.5304642       2.97832489E-03   41.9821281    
         506   2.53254390       33.5905266       2.89583206E-03   41.9826241    
         507   2.53754902       33.6505890       2.81572342E-03   41.9831047    
         508   2.54255414       33.7106514       2.73752213E-03   41.9835739    
         509   2.54755926       33.7707100       2.66122818E-03   41.9840317    
         510   2.55256438       33.8307724       2.58684158E-03   41.9844780    
         511   2.55756950       33.8908348       2.51483917E-03   41.9849091    
         512   2.56257463       33.9508972       2.44426727E-03   41.9853325    
         513   2.56757975       34.0109558       2.37560272E-03   41.9857445    
         514   2.57258487       34.0710182       2.30884552E-03   41.9861450    
         515   2.57758999       34.1310806       2.24399567E-03   41.9865341    
         516   2.58259511       34.1911430       2.18105316E-03   41.9869118    
         517   2.58760023       34.2512016       2.11954117E-03   41.9872818    
         518   2.59260535       34.3112640       2.05993652E-03   41.9876404    
         519   2.59761047       34.3713264       2.00128555E-03   41.9879913    
         520   2.60261559       34.4313889       1.94454193E-03   41.9883308    
         521   2.60762072       34.4914474       1.88922882E-03   41.9886627    
         522   2.61262584       34.5515099       1.83582306E-03   41.9889832    
         523   2.61763096       34.6115723       1.78384781E-03   41.9892960    
         524   2.62263608       34.6716347       1.73282623E-03   41.9896011    
         525   2.62764120       34.7316933       1.68323517E-03   41.9898987    
         526   2.63264632       34.7917557       1.63507462E-03   41.9901886    
         527   2.63765144       34.8518181       1.58786774E-03   41.9904709    
         528   2.64265656       34.9118805       1.54209137E-03   41.9907455    
         529   2.64766169       34.9719391       1.49774551E-03   41.9910126    
         530   2.65266681       35.0320015       1.45435333E-03   41.9912720    
         531   2.65767193       35.0920639       1.41239166E-03   41.9915237    
         532   2.66267705       35.1521263       1.37186050E-03   41.9917679    
         533   2.66768217       35.2121849       1.33228302E-03   41.9920044    
         534   2.67268729       35.2722473       1.29365921E-03   41.9922371    
         535   2.67769241       35.3323097       1.25598907E-03   41.9924622    
         536   2.68269753       35.3923721       1.21927261E-03   41.9926834    
         537   2.68770266       35.4524345       1.18350983E-03   41.9928970    
         538   2.69270778       35.5124931       1.14917755E-03   41.9931030    
         539   2.69771290       35.5725555       1.11579895E-03   41.9933052    
         540   2.70271802       35.6326180       1.08337402E-03   41.9934998    
         541   2.70772314       35.6926765       1.05142593E-03   41.9936905    
         542   2.71272826       35.7527390       1.02043152E-03   41.9938774    
         543   2.71773338       35.8128014       9.90390778E-04   41.9940567    
         544   2.72273850       35.8728638       9.61303711E-04   41.9942322    
         545   2.72774363       35.9329262       9.32693481E-04   41.9944038    
         546   2.73274875       35.9929848       9.05036926E-04   41.9945679    
         547   2.73775387       36.0530472       8.78334045E-04   41.9947281    
         548   2.74275899       36.1131096       8.52584839E-04   41.9948845    
         549   2.74776411       36.1731682       8.26835632E-04   41.9950371    
         550   2.75276923       36.2332306       8.02040100E-04   41.9951859    
         551   2.75777435       36.2932930       7.78198242E-04   41.9953308    
         552   2.76277947       36.3533554       7.54356384E-04   41.9954720    
         553   2.76778460       36.4134178       7.31468201E-04   41.9956093    
         554   2.77278972       36.4734764       7.09533691E-04   41.9957428    
         555   2.77779484       36.5335388       6.87599182E-04   41.9958725    
         556   2.78279996       36.5936012       6.66618347E-04   41.9959984    
         557   2.78780508       36.6536598       6.46591187E-04   41.9961205    
         558   2.79281020       36.7137222       6.26564026E-04   41.9962387    
         559   2.79781532       36.7737846       6.07490540E-04   41.9963531    
         560   2.80282044       36.8338470       5.89370728E-04   41.9964638    
         561   2.80782557       36.8939095       5.71250916E-04   41.9965706    
         562   2.81283069       36.9539680       5.54084778E-04   41.9966736    
         563   2.81783581       37.0140305       5.36918640E-04   41.9967766    
         564   2.82284093       37.0740929       5.20706177E-04   41.9968758    
         565   2.82784605       37.1341515       5.04493713E-04   41.9969711    
         566   2.83285117       37.1942139       4.89234924E-04   41.9970627    
         567   2.83785629       37.2542763       4.73976135E-04   41.9971542    
         568   2.84286141       37.3143387       4.59671021E-04   41.9972420    
         569   2.84786654       37.3744011       4.45365906E-04   41.9973259    
         570   2.85287166       37.4344597       4.31537628E-04   41.9974098    
         571   2.85787678       37.4945221       4.18186188E-04   41.9974899    
         572   2.86288190       37.5545845       4.05311584E-04   41.9975662    
         573   2.86788702       37.6146431       3.92913818E-04   41.9976425    
         574   2.87289214       37.6747055       3.80516052E-04   41.9977150    
         575   2.87789726       37.7347679       3.68595123E-04   41.9977875    
         576   2.88290238       37.7948303       3.57151031E-04   41.9978561    
         577   2.88790751       37.8548927       3.46183777E-04   41.9979210    
         578   2.89291263       37.9149513       3.35693359E-04   41.9979858    
         579   2.89791775       37.9750137       3.25202942E-04   41.9980469    
         580   2.90292287       38.0350761       3.15189362E-04   41.9981079    
         581   2.90792799       38.0951347       3.05175781E-04   41.9981689    
         582   2.91293311       38.1551971       2.95639038E-04   41.9982262    
         583   2.91793823       38.2152596       2.86102295E-04   41.9982834    
         584   2.92294335       38.2753220       2.77042389E-04   41.9983368    
         585   2.92794847       38.3353844       2.67982483E-04   41.9983902    
         586   2.93295360       38.3954430       2.59876251E-04   41.9984398    
         587   2.93795872       38.4555054       2.51770020E-04   41.9984894    
         588   2.94296384       38.5155678       2.43186951E-04   41.9985390    
         589   2.94796896       38.5756264       2.35557556E-04   41.9985847    
         590   2.95297408       38.6356888       2.27928162E-04   41.9986305    
         591   2.95797920       38.6957512       2.21252441E-04   41.9986725    
         592   2.96298432       38.7558136       2.14099884E-04   41.9987144    
         593   2.96798944       38.8158760       2.06947327E-04   41.9987564    
         594   2.97299457       38.8759346       2.00748444E-04   41.9987946    
         595   2.97799969       38.9359970       1.94549561E-04   41.9988327    
         596   2.98300481       38.9960594       1.87873840E-04   41.9988708    
         597   2.98800993       39.0561180       1.82151794E-04   41.9989052    
         598   2.99301505       39.1161804       1.76429749E-04   41.9989395    
         599   2.99802017       39.1762428       1.70707703E-04   41.9989738    
         600   3.00302529       39.2363052       1.64985657E-04   41.9990082    
         601   3.00803041       39.2963676       1.60217285E-04   41.9990387    
         602   3.01303554       39.3564262       1.54972076E-04   41.9990692    
         603   3.01804066       39.4164886       1.49726868E-04   41.9990997    
         604   3.02304578       39.4765511       1.44958496E-04   41.9991302    
         605   3.02805090       39.5366096       1.40190125E-04   41.9991570    
         606   3.03305602       39.5966721       1.35898590E-04   41.9991837    
         607   3.03806114       39.6567345       1.31607056E-04   41.9992104    
         608   3.04306626       39.7167969       1.26838684E-04   41.9992371    
         609   3.04807138       39.7768593       1.22547150E-04   41.9992638    
         610   3.05307651       39.8369179       1.18732452E-04   41.9992867    
         611   3.05808163       39.8969803       1.14917755E-04   41.9993095    
         612   3.06308675       39.9570427       1.11103058E-04   41.9993324    
         613   3.06809187       40.0171013       1.07288361E-04   41.9993553    
         614   3.07309699       40.0771637       1.03473663E-04   41.9993782    
         615   3.07810211       40.1372261       1.00135803E-04   41.9993973    
         616   3.08310723       40.1972885       9.72747803E-05   41.9994164    
         617   3.08811235       40.2573509       9.39369202E-05   41.9994354    
         618   3.09311748       40.3174095       9.05990601E-05   41.9994545    
         619   3.09812260       40.3774719       8.77380371E-05   41.9994736    
         620   3.10312772       40.4375343       8.44001770E-05   41.9994926    
         621   3.10813284       40.4975929       8.20159912E-05   41.9995079    
         622   3.11313796       40.5576553       7.91549683E-05   41.9995232    
         623   3.11814308       40.6177177       7.67707825E-05   41.9995384    
         624   3.12314820       40.6777802       7.43865967E-05   41.9995537    
         625   3.12815332       40.7378426       7.15255737E-05   41.9995689    
         626   3.13315845       40.7979012       6.91413879E-05   41.9995842    
         627   3.13816357       40.8579636       6.67572021E-05   41.9995995    
         628   3.14316869       40.9180260       6.38961792E-05   41.9996147    
         629   3.14817381       40.9780846       6.19888306E-05   41.9996262    
         630   3.15317893       41.0381470       6.00814819E-05   41.9996376    
         631   3.15818405       41.0982094       5.81741333E-05   41.9996490    
         632   3.16318917       41.1582718       5.62667847E-05   41.9996605    
         633   3.16819429       41.2183342       5.43594360E-05   41.9996719    
         634   3.17319942       41.2783928       5.24520874E-05   41.9996834    
         635   3.17820454       41.3384552       5.05447388E-05   41.9996948    
         636   3.18320966       41.3985176       4.86373901E-05   41.9997063    
         637   3.18821478       41.4585762       4.67300415E-05   41.9997177    
         638   3.19321990       41.5186386       4.48226929E-05   41.9997292    
         639   3.19822502       41.5787010       4.38690186E-05   41.9997368    
         640   3.20323014       41.6387634       4.24385071E-05   41.9997444    
         641   3.20823526       41.6988258       4.10079956E-05   41.9997520    
         642   3.21324039       41.7588844       4.00543213E-05   41.9997597    
         643   3.21824551       41.8189468       3.86238098E-05   41.9997673    
         644   3.22325063       41.8790092       3.71932983E-05   41.9997749    
         645   3.22825575       41.9390678       3.62396240E-05   41.9997826    
         646   3.23326087       41.9991302       3.48091125E-05   41.9997902    
         647   3.23826599       42.0591927       3.33786011E-05   41.9997978    
         648   3.24327111       42.1192551       3.24249268E-05   41.9998055    
         649   3.24827623       42.1793175       3.09944153E-05   41.9998131    
         650   3.25328135       42.2393761       2.95639038E-05   41.9998207    
         651   3.25828648       42.2994385       2.86102295E-05   41.9998283    
         652   3.26329160       42.3595009       2.71797180E-05   41.9998360    
         653   3.26829672       42.4195595       2.67028809E-05   41.9998398    
         654   3.27330184       42.4796219       2.57492065E-05   41.9998436    
         655   3.27830696       42.5396843       2.52723694E-05   41.9998474    
         656   3.28331208       42.5997467       2.47955322E-05   41.9998512    
         657   3.28831720       42.6598091       2.38418579E-05   41.9998550    
         658   3.29332232       42.7198677       2.33650208E-05   41.9998589    
         659   3.29832745       42.7799301       2.28881836E-05   41.9998627    
         660   3.30333257       42.8399925       2.19345093E-05   41.9998665    
         661   3.30833769       42.9000511       2.14576721E-05   41.9998703    
         662   3.31334281       42.9601135       2.09808350E-05   41.9998741    
         663   3.31834793       43.0201759       2.00271606E-05   41.9998779    
         664   3.32335305       43.0802383       1.95503235E-05   41.9998817    
         665   3.32835817       43.1403008       1.90734863E-05   41.9998856    
         666   3.33336329       43.2003593       1.81198120E-05   41.9998894    
         667   3.33836842       43.2604218       1.76429749E-05   41.9998932    
         668   3.34337354       43.3204842       1.71661377E-05   41.9998970    
         669   3.34837866       43.3805428       1.62124634E-05   41.9999008    
         670   3.35338378       43.4406052       1.57356262E-05   41.9999046    
         671   3.35838890       43.5006676       1.52587891E-05   41.9999084    
         672   3.36339402       43.5607300       1.43051147E-05   41.9999123    
         673   3.36839914       43.6207924       1.38282776E-05   41.9999161    
         674   3.37340426       43.6808510       1.33514404E-05   41.9999199    
         675   3.37840939       43.7409134       1.23977661E-05   41.9999237    
         676   3.38341451       43.8009758       1.19209290E-05   41.9999275    
         677   3.38841963       43.8610344       1.14440918E-05   41.9999313    
         678   3.39342475       43.9210968       1.04904175E-05   41.9999352    
         679   3.39842987       43.9811592       1.00135803E-05   41.9999390    
         680   3.40343499       44.0412216       9.53674316E-06   41.9999428    
         681   3.40844011       44.1012840       8.58306885E-06   41.9999466    
         682   3.41344523       44.1613426       8.58306885E-06   41.9999466    
         683   3.41845036       44.2214050       8.58306885E-06   41.9999466    
         684   3.42345548       44.2814674       8.58306885E-06   41.9999466    
         685   3.42846060       44.3415260       8.58306885E-06   41.9999466    
         686   3.43346572       44.4015884       8.58306885E-06   41.9999466    
         687   3.43847084       44.4616508       8.58306885E-06   41.9999466    
         688   3.44347596       44.5217133       8.58306885E-06   41.9999466    
         689   3.44848108       44.5817757       8.58306885E-06   41.9999466    
         690   3.45348620       44.6418343       8.58306885E-06   41.9999466    
         691   3.45849133       44.7018967       8.58306885E-06   41.9999466    
         692   3.46349645       44.7619591       8.58306885E-06   41.9999466    
         693   3.46850157       44.8220177       8.10623169E-06   41.9999504    
         694   3.47350669       44.8820801       8.10623169E-06   41.9999504    
         695   3.47851181       44.9421425       8.10623169E-06   41.9999504    
         696   3.48351693       45.0022049       8.10623169E-06   41.9999504    
         697   3.48852205       45.0622673       8.10623169E-06   41.9999504    
         698   3.49352717       45.1223259       8.10623169E-06   41.9999504    
         699   3.49853230       45.1823883       8.10623169E-06   41.9999504    
         700   3.50353742       45.2424507       8.10623169E-06   41.9999504    
         701   3.50854254       45.3025093       8.10623169E-06   41.9999504    
         702   3.51354766       45.3625717       8.10623169E-06   41.9999504    
         703   3.51855278       45.4226341       8.10623169E-06   41.9999504    
         704   3.52355790       45.4826965       8.10623169E-06   41.9999504    
         705   3.52856302       45.5427589       8.10623169E-06   41.9999504    
         706   3.53356814       45.6028175       8.10623169E-06   41.9999504    
         707   3.53857327       45.6628799       8.10623169E-06   41.9999504    
         708   3.54357839       45.7229424       8.10623169E-06   41.9999504    
         709   3.54858351       45.7830009       8.10623169E-06   41.9999504    
         710   3.55358863       45.8430634       8.10623169E-06   41.9999504    
         711   3.55859375       45.9031258       8.10623169E-06   41.9999504    
         712   3.56359887       45.9631882       8.10623169E-06   41.9999504    
         713   3.56860399       46.0232506       8.10623169E-06   41.9999504    
         714   3.57360911       46.0833092       8.10623169E-06   41.9999504    
         715   3.57861423       46.1433716       8.10623169E-06   41.9999504    
         716   3.58361936       46.2034340       8.10623169E-06   41.9999504    
         717   3.58862448       46.2634926       8.10623169E-06   41.9999504    
         718   3.59362960       46.3235550       8.10623169E-06   41.9999504    
         719   3.59863472       46.3836174       8.10623169E-06   41.9999504    
         720   3.60363984       46.4436798       8.10623169E-06   41.9999504    
         721   3.60864496       46.5037422       8.10623169E-06   41.9999504    
         722   3.61365008       46.5638008       8.10623169E-06   41.9999504    
         723   3.61865520       46.6238632       8.10623169E-06   41.9999504    
         724   3.62366033       46.6839256       8.10623169E-06   41.9999504    
         725   3.62866545       46.7439842       8.10623169E-06   41.9999504    
         726   3.63367057       46.8040466       8.10623169E-06   41.9999504    
         727   3.63867569       46.8641090       8.10623169E-06   41.9999504    
         728   3.64368081       46.9241714       8.10623169E-06   41.9999504    
         729   3.64868593       46.9842339       8.10623169E-06   41.9999504    
         730   3.65369105       47.0442924       8.10623169E-06   41.9999504    
         731   3.65869617       47.1043549       8.10623169E-06   41.9999504    
         732   3.66370130       47.1644173       8.10623169E-06   41.9999504    
         733   3.66870642       47.2244759       8.10623169E-06   41.9999504    
         734   3.67371154       47.2845383       8.10623169E-06   41.9999504    
         735   3.67871666       47.3446007       8.10623169E-06   41.9999504    
         736   3.68372178       47.4046631       8.10623169E-06   41.9999504    
         737   3.68872690       47.4647255       7.62939453E-06   41.9999542    
         738   3.69373202       47.5247841       7.62939453E-06   41.9999542    
         739   3.69873714       47.5848465       7.62939453E-06   41.9999542    
         740   3.70374227       47.6449089       7.62939453E-06   41.9999542    
         741   3.70874739       47.7049675       7.62939453E-06   41.9999542    
         742   3.71375251       47.7650299       7.62939453E-06   41.9999542    
         743   3.71875763       47.8250923       7.62939453E-06   41.9999542    
         744   3.72376275       47.8851547       7.62939453E-06   41.9999542    
         745   3.72876787       47.9452171       7.62939453E-06   41.9999542    
         746   3.73377299       48.0052757       7.62939453E-06   41.9999542    
         747   3.73877811       48.0653381       7.62939453E-06   41.9999542    
         748   3.74378324       48.1254005       7.62939453E-06   41.9999542    
         749   3.74878836       48.1854591       7.62939453E-06   41.9999542    
         750   3.75379348       48.2455215       7.62939453E-06   41.9999542    
         751   3.75879860       48.3055840       7.62939453E-06   41.9999542    
         752   3.76380372       48.3656464       7.62939453E-06   41.9999542    
         753   3.76880884       48.4257088       7.62939453E-06   41.9999542    
         754   3.77381396       48.4857674       7.62939453E-06   41.9999542    
         755   3.77881908       48.5458298       7.62939453E-06   41.9999542    
         756   3.78382421       48.6058922       7.62939453E-06   41.9999542    
         757   3.78882933       48.6659508       7.62939453E-06   41.9999542    
         758   3.79383445       48.7260132       7.62939453E-06   41.9999542    
         759   3.79883957       48.7860756       7.62939453E-06   41.9999542    
         760   3.80384469       48.8461380       7.62939453E-06   41.9999542    
         761   3.80884981       48.9062004       7.62939453E-06   41.9999542    
         762   3.81385493       48.9662590       7.62939453E-06   41.9999542    
         763   3.81886005       49.0263214       7.62939453E-06   41.9999542    
         764   3.82386518       49.0863838       7.62939453E-06   41.9999542    
         765   3.82887030       49.1464424       7.62939453E-06   41.9999542    
         766   3.83387542       49.2065048       7.62939453E-06   41.9999542    
         767   3.83888054       49.2665672       7.62939453E-06   41.9999542    
         768   3.84388566       49.3266296       7.62939453E-06   41.9999542    
         769   3.84889078       49.3866920       7.62939453E-06   41.9999542    
         770   3.85389590       49.4467506       7.62939453E-06   41.9999542    
         771   3.85890102       49.5068130       7.62939453E-06   41.9999542    
         772   3.86390615       49.5668755       7.62939453E-06   41.9999542    
         773   3.86891127       49.6269341       7.62939453E-06   41.9999542    
         774   3.87391639       49.6869965       7.62939453E-06   41.9999542    
         775   3.87892151       49.7470589       7.62939453E-06   41.9999542    
         776   3.88392663       49.8071213       7.62939453E-06   41.9999542    
         777   3.88893175       49.8671837       7.62939453E-06   41.9999542    
         778   3.89393687       49.9272423       7.62939453E-06   41.9999542    
         779   3.89894199       49.9873047       7.62939453E-06   41.9999542    
         780   3.90394711       50.0473671       7.62939453E-06   41.9999542    
         781   3.90895224       50.1074257       7.62939453E-06   41.9999542    
         782   3.91395736       50.1674881       7.62939453E-06   41.9999542    
         783   3.91896248       50.2275505       7.62939453E-06   41.9999542    
         784   3.92396760       50.2876129       7.62939453E-06   41.9999542    
         785   3.92897272       50.3476753       7.62939453E-06   41.9999542    
         786   3.93397784       50.4077339       7.62939453E-06   41.9999542    
         787   3.93898296       50.4677963       7.62939453E-06   41.9999542    
         788   3.94398808       50.5278587       7.62939453E-06   41.9999542    
         789   3.94899321       50.5879173       7.62939453E-06   41.9999542    
         790   3.95399833       50.6479797       7.62939453E-06   41.9999542    
         791   3.95900345       50.7080421       7.62939453E-06   41.9999542    
         792   3.96400857       50.7681046       7.62939453E-06   41.9999542    
         793   3.96901369       50.8281670       7.62939453E-06   41.9999542    
         794   3.97401881       50.8882256       7.62939453E-06   41.9999542    
         795   3.97902393       50.9482880       7.62939453E-06   41.9999542    
         796   3.98402905       51.0083504       6.67572021E-06   41.9999580    
         797   3.98903418       51.0684090       6.67572021E-06   41.9999580    
         798   3.99403930       51.1284714       6.67572021E-06   41.9999580    
         799   3.99904442       51.1885338       6.67572021E-06   41.9999580    
         800   4.00404930       51.2485924       6.67572021E-06   41.9999580    
         801   4.00905418       51.3086510       6.67572021E-06   41.9999580    
         802   4.01405907       51.3687096       6.67572021E-06   41.9999580    
         803   4.01906395       51.4287682       6.67572021E-06   41.9999580    
         804   4.02406883       51.4888268       6.67572021E-06   41.9999580    
         805   4.02907372       51.5488853       6.67572021E-06   41.9999580    
         806   4.03407860       51.6089439       6.67572021E-06   41.9999580    
         807   4.03908348       51.6690025       6.67572021E-06   41.9999580    
         808   4.04408836       51.7290611       6.67572021E-06   41.9999580    
         809   4.04909325       51.7891197       6.67572021E-06   41.9999580    
         810   4.05409813       51.8491783       6.67572021E-06   41.9999580    
         811   4.05910301       51.9092369       6.67572021E-06   41.9999580    
         812   4.06410789       51.9692955       6.67572021E-06   41.9999580    
         813   4.06911278       52.0293541       6.67572021E-06   41.9999580    
         814   4.07411766       52.0894127       6.67572021E-06   41.9999580    
         815   4.07912254       52.1494713       6.67572021E-06   41.9999580    
         816   4.08412743       52.2095299       6.67572021E-06   41.9999580    
         817   4.08913231       52.2695885       6.67572021E-06   41.9999580    
         818   4.09413719       52.3296471       6.67572021E-06   41.9999580    
         819   4.09914207       52.3897057       6.67572021E-06   41.9999580    
         820   4.10414696       52.4497643       6.67572021E-06   41.9999580    
         821   4.10915184       52.5098228       6.67572021E-06   41.9999580    
         822   4.11415672       52.5698814       6.67572021E-06   41.9999580    
         823   4.11916161       52.6299400       6.67572021E-06   41.9999580    
         824   4.12416649       52.6899986       6.67572021E-06   41.9999580    
         825   4.12917137       52.7500572       6.67572021E-06   41.9999580    
         826   4.13417625       52.8101158       6.67572021E-06   41.9999580    
         827   4.13918114       52.8701744       6.67572021E-06   41.9999580    
         828   4.14418602       52.9302330       6.67572021E-06   41.9999580    
         829   4.14919090       52.9902916       6.67572021E-06   41.9999580    
         830   4.15419579       53.0503502       6.67572021E-06   41.9999580    
         831   4.15920067       53.1104088       6.67572021E-06   41.9999580    
         832   4.16420555       53.1704674       6.67572021E-06   41.9999580    
         833   4.16921043       53.2305260       6.67572021E-06   41.9999580    
         834   4.17421532       53.2905846       6.67572021E-06   41.9999580    
         835   4.17922020       53.3506432       6.67572021E-06   41.9999580    
         836   4.18422508       53.4107018       6.67572021E-06   41.9999580    
         837   4.18922997       53.4707603       6.67572021E-06   41.9999580    
         838   4.19423485       53.5308189       6.67572021E-06   41.9999580    
         839   4.19923973       53.5908775       6.67572021E-06   41.9999580    
         840   4.20424461       53.6509361       6.67572021E-06   41.9999580    
         841   4.20924950       53.7109947       6.67572021E-06   41.9999580    
         842   4.21425438       53.7710533       6.67572021E-06   41.9999580    
         843   4.21925926       53.8311119       6.67572021E-06   41.9999580    
         844   4.22426414       53.8911705       6.67572021E-06   41.9999580    
         845   4.22926903       53.9512291       6.67572021E-06   41.9999580    
         846   4.23427391       54.0112877       6.67572021E-06   41.9999580    
         847   4.23927879       54.0713463       6.67572021E-06   41.9999580    
         848   4.24428368       54.1314049       6.67572021E-06   41.9999580    
         849   4.24928856       54.1914635       6.67572021E-06   41.9999580    
         850   4.25429344       54.2515221       6.67572021E-06   41.9999580    
         851   4.25929832       54.3115807       6.67572021E-06   41.9999580    
         852   4.26430321       54.3716393       6.67572021E-06   41.9999580    
         853   4.26930809       54.4316978       6.67572021E-06   41.9999580    
         854   4.27431297       54.4917564       6.67572021E-06   41.9999580    
         855   4.27931786       54.5518150       6.67572021E-06   41.9999580    
         856   4.28432274       54.6118736       6.67572021E-06   41.9999580    
         857   4.28932762       54.6719322       6.67572021E-06   41.9999580    
         858   4.29433250       54.7319908       6.67572021E-06   41.9999580    
         859   4.29933739       54.7920494       6.67572021E-06   41.9999580    
         860   4.30434227       54.8521080       6.67572021E-06   41.9999580    
         861   4.30934715       54.9121666       6.67572021E-06   41.9999580    
         862   4.31435204       54.9722252       6.67572021E-06   41.9999580    
         863   4.31935692       55.0322838       6.67572021E-06   41.9999580    
         864   4.32436180       55.0923424       6.67572021E-06   41.9999580    
         865   4.32936668       55.1524010       6.67572021E-06   41.9999580    
         866   4.33437157       55.2124596       6.67572021E-06   41.9999580    
         867   4.33937645       55.2725182       6.67572021E-06   41.9999580    
         868   4.34438133       55.3325768       6.67572021E-06   41.9999580    
         869   4.34938622       55.3926353       6.67572021E-06   41.9999580    
         870   4.35439110       55.4526939       6.67572021E-06   41.9999580    
         871   4.35939598       55.5127525       6.67572021E-06   41.9999580    
         872   4.36440086       55.5728111       6.67572021E-06   41.9999580    
         873   4.36940575       55.6328697       6.67572021E-06   41.9999580    
         874   4.37441063       55.6929283       6.67572021E-06   41.9999580    
         875   4.37941551       55.7529869       6.67572021E-06   41.9999580    
         876   4.38442039       55.8130455       6.67572021E-06   41.9999580    
         877   4.38942528       55.8731041       6.67572021E-06   41.9999580    
         878   4.39443016       55.9331627       6.67572021E-06   41.9999580    
         879   4.39943504       55.9932213       6.67572021E-06   41.9999580    
         880   4.40443993       56.0532799       6.67572021E-06   41.9999580    
         881   4.40944481       56.1133385       6.67572021E-06   41.9999580    
         882   4.41444969       56.1733971       6.67572021E-06   41.9999580    
         883   4.41945457       56.2334557       6.67572021E-06   41.9999580    
         884   4.42445946       56.2935143       6.67572021E-06   41.9999580    
         885   4.42946434       56.3535728       6.67572021E-06   41.9999580    
         886   4.43446922       56.4136314       6.67572021E-06   41.9999580    
         887   4.43947411       56.4736900       6.67572021E-06   41.9999580    
         888   4.44447899       56.5337486       6.67572021E-06   41.9999580    
         889   4.44948387       56.5938072       6.67572021E-06   41.9999580    
         890   4.45448875       56.6538658       6.67572021E-06   41.9999580    
         891   4.45949364       56.7139244       6.67572021E-06   41.9999580    
         892   4.46449852       56.7739830       6.67572021E-06   41.9999580    
         893   4.46950340       56.8340416       6.67572021E-06   41.9999580    
         894   4.47450829       56.8941002       6.67572021E-06   41.9999580    
         895   4.47951317       56.9541588       6.67572021E-06   41.9999580    
         896   4.48451805       57.0142174       6.67572021E-06   41.9999580    
         897   4.48952293       57.0742760       6.67572021E-06   41.9999580    
         898   4.49452782       57.1343346       6.67572021E-06   41.9999580    
         899   4.49953270       57.1943932       6.67572021E-06   41.9999580    
         900   4.50453758       57.2544518       6.67572021E-06   41.9999580    
         901   4.50954247       57.3145103       6.67572021E-06   41.9999580    
         902   4.51454735       57.3745689       6.67572021E-06   41.9999580    
         903   4.51955223       57.4346275       6.67572021E-06   41.9999580    
         904   4.52455711       57.4946861       6.67572021E-06   41.9999580    
         905   4.52956200       57.5547447       6.67572021E-06   41.9999580    
         906   4.53456688       57.6148033       6.67572021E-06   41.9999580    
         907   4.53957176       57.6748619       6.67572021E-06   41.9999580    
         908   4.54457664       57.7349205       6.67572021E-06   41.9999580    
         909   4.54958153       57.7949791       6.19888306E-06   41.9999619    
         910   4.55458641       57.8550377       6.19888306E-06   41.9999619    
         911   4.55959129       57.9150963       6.19888306E-06   41.9999619    
