  *** Project Runge-Kutt ***
  ****** Input  maximum steps i_max:
1000
   h= 5.00500482E-03     t_max=5.00000000        i_max= 1000
   p2= 7.00000000        Beta=1.00000000         Kappa=   6.00000000        x0=  0.100000001    
 _________________________________________________
     i             t               K(t)    (p2-Beta/Kappa*x)      x(t)
          93  0.465465248       8.78558254       4.36819172       15.7908506    
          94  0.470470250       8.84564304       4.33598804       15.9840727    
          95  0.475475252       8.90570259       4.30380583       16.1771641    
          96  0.480480254       8.96576309       4.27164888       16.3701057    
          97  0.485485256       9.02582264       4.23951960       16.5628815    
          98  0.490490258       9.08588314       4.20742130       16.7554722    
          99  0.495495260       9.14594269       4.17535686       16.9478588    
         100  0.500500262       9.20600319       4.14332914       17.1400242    
         101  0.505505264       9.26606274       4.11134100       17.3319530    
         102  0.510510266       9.32612324       4.07939529       17.5236263    
         103  0.515515268       9.38618279       4.04749537       17.7150269    
         104  0.520520270       9.44624329       4.01564360       17.9061375    
         105  0.525525272       9.50630283       3.98384309       18.0969410    
         106  0.530530274       9.56636333       3.95209622       18.2874222    
         107  0.535535276       9.62642288       3.92040586       18.4775639    
         108  0.540540278       9.68648338       3.88877487       18.6673508    
         109  0.545545280       9.74654293       3.85720563       18.8567657    
         110  0.550550282       9.80660343       3.82570124       19.0457916    
         111  0.555555284       9.86666298       3.79426408       19.2344151    
         112  0.560560286       9.92672348       3.76289678       19.4226189    
         113  0.565565288       9.98678303       3.73160172       19.6103897    
         114  0.570570290       10.0468435       3.70038152       19.7977104    
         115  0.575575292       10.1069031       3.66923857       19.9845676    
         116  0.580580294       10.1669636       3.63817549       20.1709461    
         117  0.585585296       10.2270231       3.60719490       20.3568306    
         118  0.590590298       10.2870836       3.57629871       20.5422077    
         119  0.595595300       10.3471432       3.54548955       20.7270622    
         120  0.600600302       10.4072037       3.51476979       20.9113808    
         121  0.605605304       10.4672632       3.48414159       21.0951500    
         122  0.610610306       10.5273237       3.45360708       21.2783566    
         123  0.615615308       10.5873833       3.42316914       21.4609852    
         124  0.620620310       10.6474438       3.39282918       21.6430244    
         125  0.625625312       10.7075033       3.36258984       21.8244610    
         126  0.630630314       10.7675638       3.33245277       22.0052834    
         127  0.635635316       10.8276234       3.30242062       22.1854763    
         128  0.640640318       10.8876839       3.27249479       22.3650303    
         129  0.645645320       10.9477434       3.24267793       22.5439320    
         130  0.650650322       11.0078039       3.21297169       22.7221699    
         131  0.655655324       11.0678635       3.18337822       22.8997307    
         132  0.660660326       11.1279240       3.15389919       23.0766048    
         133  0.665665329       11.1879835       3.12453651       23.2527809    
         134  0.670670331       11.2480440       3.09529233       23.4282455    
         135  0.675675333       11.3081036       3.06616807       23.6029911    
         136  0.680680335       11.3681641       3.03716588       23.7770042    
         137  0.685685337       11.4282236       3.00828695       23.9502773    
         138  0.690690339       11.4882841       2.97953367       24.1227970    
         139  0.695695341       11.5483437       2.95090723       24.2945557    
         140  0.700700343       11.6084042       2.92240953       24.4655418    
         141  0.705705345       11.6684637       2.89404202       24.6357479    
         142  0.710710347       11.7285242       2.86580610       24.8051624    
         143  0.715715349       11.7885838       2.83770370       24.9737778    
         144  0.720720351       11.8486443       2.80973577       25.1415844    
         145  0.725725353       11.9087038       2.78190422       25.3085728    
         146  0.730730355       11.9687643       2.75421047       25.4747353    
         147  0.735735357       12.0288239       2.72665596       25.6400623    
         148  0.740740359       12.0888844       2.69924164       25.8045483    
         149  0.745745361       12.1489439       2.67196941       25.9681835    
         150  0.750750363       12.2090044       2.64483976       26.1309605    
         151  0.755755365       12.2690639       2.61785460       26.2928715    
         152  0.760760367       12.3291245       2.59101486       26.4539089    
         153  0.765765369       12.3891840       2.56432199       26.6140671    
         154  0.770770371       12.4492445       2.53777695       26.7733364    
         155  0.775775373       12.5093040       2.51138115       26.9317131    
         156  0.780780375       12.5693645       2.48513508       27.0891895    
         157  0.785785377       12.6294241       2.45903969       27.2457600    
         158  0.790790379       12.6894846       2.43309689       27.4014168    
         159  0.795795381       12.7495441       2.40730715       27.5561562    
         160  0.800800383       12.8096046       2.38167143       27.7099705    
         161  0.805805385       12.8696642       2.35619068       27.8628559    
         162  0.810810387       12.9297247       2.33086586       28.0148048    
         163  0.815815389       12.9897842       2.30569744       28.1658134    
         164  0.820820391       13.0498447       2.28068686       28.3158779    
         165  0.825825393       13.1099043       2.25583458       28.4649925    
         166  0.830830395       13.1699648       2.23114109       28.6131535    
         167  0.835835397       13.2300243       2.20660734       28.7603550    
         168  0.840840399       13.2900848       2.18223381       28.9065952    
         169  0.845845401       13.3501444       2.15802193       29.0518684    
         170  0.850850403       13.4102049       2.13397121       29.1961708    
         171  0.855855405       13.4702644       2.11008310       29.3395004    
         172  0.860860407       13.5303249       2.08635807       29.4818516    
         173  0.865865409       13.5903845       2.06279612       29.6232224    
         174  0.870870411       13.6504450       2.03939819       29.7636089    
         175  0.875875413       13.7105045       2.01616478       29.9030094    
         176  0.880880415       13.7705650       1.99309635       30.0414219    
         177  0.885885417       13.8306246       1.97019291       30.1788425    
         178  0.890890419       13.8906851       1.94745493       30.3152695    
         179  0.895895422       13.9507446       1.92488289       30.4507008    
         180  0.900900424       14.0108051       1.90247726       30.5851345    
         181  0.905905426       14.0708647       1.88023853       30.7185688    
         182  0.910910428       14.1309252       1.85816622       30.8510017    
         183  0.915915430       14.1909847       1.83626127       30.9824314    
         184  0.920920432       14.2510452       1.81452370       31.1128578    
         185  0.925925434       14.3111048       1.79295349       31.2422791    
         186  0.930930436       14.3711653       1.77155113       31.3706932    
         187  0.935935438       14.4312248       1.75031614       31.4981022    
         188  0.940940440       14.4912853       1.72924900       31.6245041    
         189  0.945945442       14.5513449       1.70835018       31.7498970    
         190  0.950950444       14.6114054       1.68761921       31.8742828    
         191  0.955955446       14.6714649       1.66705656       31.9976597    
         192  0.960960448       14.7315254       1.64666176       32.1200294    
         193  0.965965450       14.7915850       1.62643480       32.2413902    
         194  0.970970452       14.8516455       1.60637569       32.3617439    
         195  0.975975454       14.9117050       1.58648491       32.4810905    
         196  0.980980456       14.9717655       1.56676149       32.5994301    
         197  0.985985458       15.0318251       1.54720592       32.7167625    
         198  0.990990460       15.0918856       1.52781868       32.8330879    
         199  0.995995462       15.1519451       1.50859833       32.9484100    
         200   1.00100052       15.2120066       1.48954487       33.0627289    
         201   1.00600553       15.2720661       1.47065830       33.1760483    
         202   1.01101053       15.3321257       1.45193911       33.2883644    
         203   1.01601553       15.3921862       1.43338585       33.3996849    
         204   1.02102053       15.4522467       1.41499901       33.5100060    
         205   1.02602553       15.5123062       1.39677811       33.6193314    
         206   1.03103054       15.5723658       1.37872219       33.7276649    
         207   1.03603554       15.6324263       1.36083221       33.8350067    
         208   1.04104054       15.6924868       1.34310627       33.9413605    
         209   1.04604554       15.7525463       1.32554531       34.0467262    
         210   1.05105054       15.8126059       1.30814838       34.1511078    
         211   1.05605555       15.8726664       1.29091501       34.2545090    
         212   1.06106055       15.9327269       1.27384472       34.3569298    
         213   1.06606555       15.9927864       1.25693750       34.4583740    
         214   1.07107055       16.0528469       1.24019241       34.5588455    
         215   1.07607555       16.1129074       1.22360897       34.6583443    
         216   1.08108056       16.1729679       1.20718670       34.7568779    
         217   1.08608556       16.2330265       1.19092560       34.8544464    
         218   1.09109056       16.2930870       1.17482424       34.9510536    
         219   1.09609556       16.3531475       1.15888262       35.0467033    
         220   1.10110056       16.4132080       1.14309978       35.1413994    
         221   1.10610557       16.4732666       1.12747622       35.2351418    
         222   1.11111057       16.5333271       1.11201000       35.3279381    
         223   1.11611557       16.5933876       1.09670115       35.4197922    
         224   1.12112057       16.6534481       1.08154869       35.5107079    
         225   1.12612557       16.7135067       1.06655216       35.6006851    
         226   1.13113058       16.7735672       1.05171108       35.6897316    
         227   1.13613558       16.8336277       1.03702450       35.7778511    
         228   1.14114058       16.8936882       1.02249193       35.8650475    
         229   1.14614558       16.9537468       1.00811243       35.9513245    
         230   1.15115058       17.0138073      0.993885517       36.0366859    
         231   1.15615559       17.0738678      0.979809761       36.1211395    
         232   1.16116059       17.1339283      0.965885639       36.2046852    
         233   1.16616559       17.1939869      0.952111244       36.2873306    
         234   1.17117059       17.2540474      0.938486576       36.3690796    
         235   1.17617559       17.3141079      0.925010681       36.4499359    
         236   1.18118060       17.3741684      0.911682129       36.5299072    
         237   1.18618560       17.4342270      0.898500443       36.6089973    
         238   1.19119060       17.4942875      0.885464668       36.6872101    
         239   1.19619560       17.5543480      0.872574806       36.7645493    
         240   1.20120060       17.6144085      0.859829426       36.8410225    
         241   1.20620561       17.6744671      0.847227573       36.9166336    
         242   1.21121061       17.7345276      0.834768772       36.9913864    
         243   1.21621561       17.7945881      0.822452545       37.0652847    
         244   1.22122061       17.8546486      0.810276508       37.1383400    
         245   1.22622561       17.9147072      0.798241138       37.2105522    
         246   1.23123062       17.9747677      0.786345005       37.2819290    
         247   1.23623562       18.0348282      0.774587631       37.3524742    
         248   1.24124062       18.0948887      0.762968063       37.4221916    
         249   1.24624562       18.1549473      0.751484394       37.4910927    
         250   1.25125062       18.2150078      0.740137100       37.5591774    
         251   1.25625563       18.2750683      0.728924274       37.6264534    
         252   1.26126063       18.3351288      0.717845917       37.6929245    
         253   1.26626563       18.3951874      0.706900120       37.7585983    
         254   1.27127063       18.4552479      0.696085930       37.8234825    
         255   1.27627563       18.5153084      0.685403824       37.8875771    
         256   1.28128064       18.5753689      0.674850941       37.9508934    
         257   1.28628564       18.6354275      0.664427280       38.0134354    
         258   1.29129064       18.6954880      0.654131889       38.0752068    
         259   1.29629564       18.7555485      0.643963814       38.1362152    
         260   1.30130064       18.8156090      0.633922577       38.1964645    
         261   1.30630565       18.8756676      0.624006271       38.2559624    
         262   1.31131065       18.9357281      0.614214420       38.3147125    
         263   1.31631565       18.9957886      0.604546070       38.3727226    
         264   1.32132065       19.0558491      0.594999790       38.4300003    
         265   1.32632565       19.1159077      0.585575104       38.4865494    
         266   1.33133066       19.1759682      0.576271057       38.5423737    
         267   1.33633566       19.2360287      0.567085743       38.5974846    
         268   1.34134066       19.2960892      0.558019638       38.6518822    
         269   1.34634566       19.3561478      0.549070358       38.7055779    
         270   1.35135067       19.4162083      0.540237904       38.7585716    
         271   1.35635567       19.4762688      0.531520844       38.8108749    
         272   1.36136067       19.5363293      0.522917747       38.8624916    
         273   1.36636567       19.5963898      0.514429092       38.9134254    
         274   1.37137067       19.6564484      0.506052017       38.9636879    
         275   1.37637568       19.7165089      0.497786522       39.0132790    
         276   1.38138068       19.7765694      0.489632130       39.0622063    
         277   1.38638568       19.8366280      0.481586933       39.1104774    
         278   1.39139068       19.8966885      0.473649979       39.1581001    
         279   1.39639568       19.9567490      0.465820312       39.2050781    
         280   1.40140069       20.0168095      0.458097458       39.2514153    
         281   1.40640569       20.0768700      0.450479984       39.2971191    
         282   1.41141069       20.1369286      0.442966938       39.3421974    
         283   1.41641569       20.1969891      0.435557365       39.3866539    
         284   1.42142069       20.2570496      0.428250313       39.4304962    
         285   1.42642570       20.3171082      0.421045303       39.4737282    
         286   1.43143070       20.3771687      0.413940430       39.5163574    
         287   1.43643570       20.4372292      0.406934738       39.5583916    
         288   1.44144070       20.4972897      0.400027275       39.5998344    
         289   1.44644570       20.5573502      0.393218040       39.6406898    
         290   1.45145071       20.6174088      0.386505127       39.6809692    
         291   1.45645571       20.6774693      0.379887581       39.7206726    
         292   1.46146071       20.7375298      0.373365402       39.7598076    
         293   1.46646571       20.7975883      0.366936207       39.7983818    
         294   1.47147071       20.8576488      0.360599518       39.8364029    
         295   1.47647572       20.9177094      0.354354858       39.8738708    
         296   1.48148072       20.9777699      0.348200321       39.9107971    
         297   1.48648572       21.0378304      0.342135429       39.9471855    
         298   1.49149072       21.0978889      0.336159706       39.9830399    
         299   1.49649572       21.1579494      0.330271721       40.0183678    
         300   1.50150073       21.2180099      0.324470997       40.0531731    
         301   1.50650573       21.2780685      0.318756104       40.0874634    
         302   1.51151073       21.3381290      0.313126087       40.1212425    
         303   1.51651573       21.3981895      0.307579994       40.1545181    
         304   1.52152073       21.4582500      0.302117348       40.1872940    
         305   1.52652574       21.5183105      0.296736717       40.2195778    
         306   1.53153074       21.5783691      0.291437626       40.2513733    
         307   1.53653574       21.6384296      0.286218643       40.2826881    
         308   1.54154074       21.6984901      0.281078815       40.3135262    
         309   1.54654574       21.7585487      0.276017189       40.3438950    
         310   1.55155075       21.8186092      0.271033287       40.3737984    
         311   1.55655575       21.8786697      0.266126633       40.4032402    
         312   1.56156075       21.9387302      0.261295319       40.4322281    
         313   1.56656575       21.9987907      0.256538868       40.4607658    
         314   1.57157075       22.0588493      0.251856327       40.4888611    
         315   1.57657576       22.1189098      0.247246742       40.5165176    
         316   1.58158076       22.1789703      0.242709160       40.5437431    
         317   1.58658576       22.2390289      0.238243580       40.5705376    
         318   1.59159076       22.2990894      0.233847618       40.5969124    
